Irish IGFS Q4 WBITS survey index,,,,,,,,,,,,,,,
Numbers per hour. Deep strata were only added in 2005 but this does not seem to affect the index,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Quarter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SweptAreaKm2,30.21209,31.63982,43.65207,49.62666,52.43055,47.88146,46.19261,48.41586,43.78216,48.85799,51.08087,47.9204,39.24766,51.89228,42.39986
EffortHrs,40.48333,42,54.4,59.2,62.26667,60.06667,55.71667,64.4,54.73333,63.45,64.01667,61.61667,49.76667,64.26667,52.08333
CatchNo,30,124,90,88,58,142,142,177,120,81,397,269,233,420,299
CatchWt,39.307,33.795,42.539,60.73,44.648,131.63,143.543,205.106,80.185,75.667,162.295,120.049,90.556,236.9,181.164
,,,,,,,,,,,,,,,
LngtCM,IGFS2003,IGFS2004,IGFS2005,IGFS2006,IGFS2007,IGFS2008,IGFS2009,IGFS2010,IGFS2011,IGFS2012,IGFS2013,IGFS2014,IGFS2015,IGFS2016,IGFS2017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.023809524,0,0.016891892,0,0,0,0.01552795,0,0,0.015620931,0,0,0,0
6,0,0.071428571,0.018382353,0,0,0,0,0,0,0,0.093725587,0.064917497,0,0,0
7,0,0.047619048,0.036764706,0,0,0,0.0358959,0,0,0,0.218693037,0.048688123,0,0.03112033,0.019200001
8,0,0.428571429,0.036764706,0.033783784,0,0.049944503,0,0.062111801,0,0.015760441,0.89039308,0.032458749,0,0.077800826,0.038400002
9,0,0.404761905,0.018382353,0.033783784,0.016059956,0.066592671,0.01794795,0.046583851,0.054811209,0,1.234053568,0.097376246,0.080375078,0.171161817,0.096000006
10,0,0.285714286,0.055147059,0.118243243,0.048179869,0.14983351,0,0.139751553,0.255785643,0,1.218432636,0.129834994,0.301406544,0.202282147,0.115200007
11,0.024701525,0.214285714,0.091911765,0.050675676,0.080299782,0.133185342,0,0.031055901,0.200974434,0.047281324,0.37490235,0.081146871,0.522438009,0.389004129,0.15360001
12,0.024701525,0.071428571,0.036764706,0.033783784,0.016059956,0.133185342,0,0.124223602,0.328867255,0.015760441,0.078104656,0.11360562,0.4621567,0.404564294,0.326400021
13,0,0.833333333,0,0.016891892,0.032119913,0.016648168,0,0.01552795,0.182704031,0.078802206,0.015620931,0.016229374,0.321500313,0.202282147,0.172800011
14,0,0,0,0.016891892,0,0.016648168,0.01794795,0,0.036540806,0.015760441,0,0.194752491,0.180843926,0.077800826,0.134400009
15,0,0,0.055147059,0,0,0.016648168,0.01794795,0,0.073081612,0,0,0.292128737,0,0.062240661,0.057600004
16,0,0,0.036764706,0,0.016059956,0,0,0,0.018270403,0,0,0.34081686,0.02009377,0.264522808,0.038400002
17,0,0,0.036764706,0.033783784,0,0,0.01794795,0,0,0,0,0.308358112,0.060281309,0.155601652,0.096000006
18,0.024701525,0,0.055147059,0,0,0,0.01794795,0,0,0.031520883,0.015620931,0.373275609,0.080375078,0.248962643,0.15360001
19,0,0.047619048,0.128676471,0.016891892,0.016059956,0.033296336,0,0,0,0,0.015620931,0.178523117,0.140656387,0.264522808,0.057600004
20,0,0.023809524,0.165441176,0.016891892,0,0.016648168,0.01794795,0,0.018270403,0.015760441,0.031241862,0.146064369,0.100468848,0.171161817,0.192000012
21,0,0.047619048,0.073529412,0.050675676,0.016059956,0.016648168,0,0,0.018270403,0.031520883,0,0.11360562,0.120562618,0.171161817,0.076800005
22,0,0,0.073529412,0.016891892,0,0.049944503,0.071791799,0.062111801,0.018270403,0.031520883,0,0.162293743,0.120562618,0.140041487,0.15360001
23,0,0,0.091911765,0.033783784,0.016059956,0.016648168,0.01794795,0.01552795,0.018270403,0.031520883,0.078104656,0.194752491,0.120562618,0.046680496,0.230400015
24,0,0.071428571,0.055147059,0.033783784,0.032119913,0.066592671,0.089739749,0,0.036540806,0.015760441,0.031241862,0.064917497,0.140656387,0.202282147,0.172800011
25,0,0,0.055147059,0.016891892,0.016059956,0.083240839,0.107687699,0,0.018270403,0.047281324,0.078104656,0.032458749,0.100468848,0.093360991,0.211200014
26,0,0.023809524,0.018382353,0.118243243,0,0.016648168,0.125635649,0.031055901,0.054811209,0.031520883,0.015620931,0.032458749,0.080375078,0.062240661,0.134400009
27,0,0,0.018382353,0.050675676,0.016059956,0.083240839,0.0358959,0.031055901,0.073081612,0.047281324,0,0.048688123,0.140656387,0.108921156,0.192000012
28,0,0,0.073529412,0.050675676,0.080299782,0.016648168,0.089739749,0.046583851,0.018270403,0.047281324,0.031241862,0.097376246,0.060281309,0.124481321,0.134400009
29,0,0.023809524,0.055147059,0.067567568,0.016059956,0.049944503,0.071791799,0.031055901,0.036540806,0.047281324,0.046862794,0.032458749,0.180843926,0.093360991,0.192000012
30,0,0,0,0.016891892,0.032119913,0.033296336,0.089739749,0.01552795,0,0.015760441,0,0.048688123,0.120562618,0.062240661,0.288000018
31,0,0,0.055147059,0.067567568,0,0.066592671,0.05384385,0.046583851,0,0.031520883,0.062483725,0.016229374,0.120562618,0.186721982,0.15360001
32,0,0,0.018382353,0.050675676,0.016059956,0.033296336,0.071791799,0.093167702,0.036540806,0.015760441,0.015620931,0.032458749,0.080375078,0.124481321,0.057600004
33,0,0,0,0.050675676,0.016059956,0.083240839,0.071791799,0.077639752,0,0,0.109346519,0.081146871,0.120562618,0.093360991,0.211200014
34,0,0,0,0.050675676,0.048179869,0.049944503,0.0358959,0.046583851,0.018270403,0.063041765,0.12496745,0.048688123,0.060281309,0.311203303,0.230400015
35,0.049403051,0.023809524,0.018382353,0.016891892,0,0.049944503,0.143583599,0.093167702,0.036540806,0,0.140588381,0.048688123,0.060281309,0.155601652,0.057600004
36,0.024701525,0,0.036764706,0.016891892,0,0.033296336,0.0358959,0.046583851,0,0,0.062483725,0.032458749,0.040187539,0.186721982,0.134400009
37,0.024701525,0.023809524,0.036764706,0,0.048179869,0.099889007,0.143583599,0.155279503,0,0.110323089,0.140588381,0.048688123,0.080375078,0.155601652,0.172800011
38,0,0,0,0.016891892,0.032119913,0.083240839,0.089739749,0.062111801,0.018270403,0.031520883,0.140588381,0.11360562,0.100468848,0.124481321,0.076800005
39,0.049403051,0,0,0.033783784,0.032119913,0.083240839,0.089739749,0.139751553,0.036540806,0.047281324,0.140588381,0.016229374,0.02009377,0.093360991,0.019200001
40,0.024701525,0.023809524,0,0.016891892,0.016059956,0.049944503,0.107687699,0.139751553,0.036540806,0.031520883,0.031241862,0.048688123,0.080375078,0.077800826,0.057600004
41,0.049403051,0,0,0.016891892,0.016059956,0.066592671,0.107687699,0.108695652,0.018270403,0.031520883,0.062483725,0.064917497,0.060281309,0.155601652,0.115200007
42,0.049403051,0,0,0.016891892,0.016059956,0.033296336,0.107687699,0.093167702,0.036540806,0.047281324,0.062483725,0.081146871,0,0.155601652,0.076800005
43,0.049403051,0.023809524,0,0.033783784,0.032119913,0.033296336,0.0358959,0.031055901,0.018270403,0.015760441,0.031241862,0.016229374,0.060281309,0.108921156,0.057600004
44,0.074104576,0,0.018382353,0.016891892,0.048179869,0.016648168,0.071791799,0.108695652,0.018270403,0.031520883,0.046862794,0.032458749,0.060281309,0.046680496,0.076800005
45,0.024701525,0,0,0,0.048179869,0,0.05384385,0.124223602,0,0,0.062483725,0.081146871,0.040187539,0.108921156,0.038400002
46,0.024701525,0.047619048,0.055147059,0,0.016059956,0.083240839,0.071791799,0.062111801,0.018270403,0.047281324,0.062483725,0.032458749,0.02009377,0.077800826,0.076800005
47,0,0,0,0,0.016059956,0,0.01794795,0.062111801,0.018270403,0,0.031241862,0,0.02009377,0.077800826,0.019200001
48,0,0,0,0.033783784,0.016059956,0.033296336,0.05384385,0.046583851,0.036540806,0.015760441,0.078104656,0.016229374,0,0.046680496,0.076800005
49,0,0.023809524,0.018382353,0.016891892,0.032119913,0.066592671,0.01794795,0.093167702,0.054811209,0,0,0.016229374,0,0.093360991,0.115200007
50,0.049403051,0.023809524,0.018382353,0.050675676,0,0.016648168,0,0.046583851,0.054811209,0,0,0.016229374,0.02009377,0.046680496,0.076800005
51,0.024701525,0,0,0,0,0.066592671,0.0358959,0.046583851,0.036540806,0,0.062483725,0.016229374,0,0.03112033,0
52,0.049403051,0,0,0.016891892,0,0,0.05384385,0.046583851,0.018270403,0.015760441,0,0.032458749,0,0,0.076800005
53,0.024701525,0,0,0.016891892,0,0.016648168,0,0.062111801,0.091352015,0.047281324,0.015620931,0.016229374,0.02009377,0.03112033,0.019200001
54,0.024701525,0.023809524,0.018382353,0,0,0,0,0.031055901,0,0.015760441,0.015620931,0.032458749,0.02009377,0.03112033,0.019200001
55,0.024701525,0,0,0.016891892,0,0.016648168,0.0358959,0.031055901,0.018270403,0.015760441,0.031241862,0.016229374,0,0,0.019200001
56,0.024701525,0,0,0,0,0,0.01794795,0.01552795,0,0,0,0.032458749,0.040187539,0.03112033,0.038400002
57,0,0,0,0.016891892,0,0,0.01794795,0.01552795,0.018270403,0.015760441,0.015620931,0,0.02009377,0.015560165,0.038400002
58,0,0,0,0.016891892,0,0.049944503,0.01794795,0.01552795,0.018270403,0.015760441,0.015620931,0.032458749,0,0.015560165,0.038400002
59,0,0,0.018382353,0,0,0.049944503,0,0.01552795,0,0.015760441,0.031241862,0,0.02009377,0,0.038400002
60,0,0.023809524,0.018382353,0,0.016059956,0,0,0,0,0,0,0.016229374,0.02009377,0,0.038400002
61,0,0.047619048,0,0,0,0,0.01794795,0,0,0,0,0.016229374,0,0.03112033,0
62,0,0,0.018382353,0,0,0.049944503,0.0358959,0,0.018270403,0.015760441,0.046862794,0.016229374,0,0.015560165,0
63,0,0.023809524,0.018382353,0,0,0.016648168,0,0.01552795,0.036540806,0,0.015620931,0,0.02009377,0.015560165,0
64,0,0,0,0.050675676,0,0,0.0358959,0.01552795,0,0,0.015620931,0.016229374,0,0.015560165,0.038400002
65,0,0.023809524,0,0,0,0.016648168,0,0.01552795,0.018270403,0,0,0,0,0,0
66,0,0,0,0,0,0,0.01794795,0,0,0.015760441,0,0.016229374,0.02009377,0,0
67,0,0,0,0,0,0,0.01794795,0.01552795,0,0.015760441,0,0,0,0,0
68,0,0,0,0,0.016059956,0,0.01794795,0.01552795,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0.01552795,0,0,0.015620931,0,0,0,0.019200001
73,0,0,0,0,0,0.016648168,0,0,0,0,0,0,0,0.015560165,0.019200001
74,0,0,0,0,0,0.016648168,0,0,0,0,0.015620931,0,0,0,0
76,0,0,0,0,0,0,0,0.01552795,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015560165,0
78,0,0,0,0,0,0,0,0,0,0,0.015620931,0,0,0,0
80,0,0,0,0,0,0,0,0.01552795,0,0,0,0.016229374,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015560165,0
